speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"House of Representatives. Wednesday, U March, 1988.",13
1,Mr SPEAKER,Unknown,"Hon. Sir Littleton Groom) took the chair at 3 p.m., and read prayers. CAPTAI N HERBERT HINKLER, ' A.F.C.",13
2,Mr BRUCE,Unknown,"As a compliment to the very distinguished aviator, Captain Hinkler, who is being welcomed today in the Capital City of the Commonwealth, and to enable honourable members to attend the various functions that have been arranged in his honour, I move That the House do now adjourn. Question resolved in the affirmative. House adjourned at 3.2 p.m.",13
