speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Thursday, 24 October 2002 ----",5
1,The SPEAKER,Unknown,"Mr Neil Andrew) took the chair at 9.30 a.m., and read prayers. NA",5
2,Mr ABBOTT,ADJOURNMENT,"Given the importance of the prayer service that is about to begin, I move: That the House do now adjourn. Question agreed to.",5
3,The SPEAKER,ADJOURNMENT,"As a mark of respect, the House stands adjourned until 12.30 p.m. on Monday, 11 November. House adjourned at 9.32 a.m.",5
